id,urban_density,rural_density
01,2500,15
02,1800,8
04,2200,12
05,2100,18
06,2800,22
08,1900,10
09,2400,14
10,2000,16
11,2600,20
12,2300,25
13,2700,30
15,1600,6
16,1700,9
17,2200,28
18,2000,24
19,1800,11
20,1900,13
21,2100,17
22,2400,19
23,1700,7
24,2500,21
25,2600,26
26,2200,23
27,2000,15
28,1900,12
29,2100,18
30,1800,8
31,2000,14
32,2200,20
33,1900,11
34,2400,16
35,1700,9
36,2500,22
37,2100,19
38,1800,10
39,2300,25
40,2000,17
41,1900,13
42,2400,21
44,2200,15
45,2000,18
46,1800,12
47,2100,20
48,2600,28
49,1900,14
50,2000,16
51,2300,24
53,2100,19
54,1900,11
55,2200,23
56,1800,13
72,2400,27

